# T[GeV]  muB[GeV]  eps[fm-4]  nB[fm-3]  muQ[GeV]  muS[GeV]  P[fm-4]  residual
0.171666 0.231811 0.800000 0.147059 -0.008889 0.069025 0.126492 0.000000
0.175348 0.218648 0.900000 0.147059 -0.008666 0.066963 0.144767 0.000000
0.178680 0.208303 1.000000 0.147059 -0.008471 0.065243 0.163435 0.000000
0.000000 1.050000 0.000000 0.188235 -0.050000 -0.050000 0.000000 1.000000
0.020000 1.050000 0.100000 0.188235 -0.050000 -0.050000 0.031287 0.738001
0.059084 0.897216 0.200000 0.188235 -0.021637 0.153647 0.011899 0.000000
0.118842 0.623344 0.300000 0.188235 -0.015380 0.142607 0.032736 0.000000
0.138762 0.485564 0.400000 0.188235 -0.012434 0.118555 0.050285 0.000000
0.150688 0.400893 0.500000 0.188235 -0.010884 0.100313 0.069345 0.000000
0.159247 0.346842 0.600000 0.188235 -0.010585 0.092363 0.089908 0.000000
0.165317 0.314598 0.700000 0.188235 -0.010528 0.088726 0.109469 0.000000
0.170065 0.293266 0.800000 0.188235 -0.010482 0.086297 0.128403 0.000000
0.174073 0.277541 0.900000 0.188235 -0.010438 0.084318 0.147186 0.000000
0.177610 0.265046 1.000000 0.188235 -0.010394 0.082550 0.166059 0.000000
0.000000 -0.050000 0.000000 0.229412 0.050000 0.244923 0.000000 1.000000
0.020000 1.050000 0.100000 0.229412 -0.050000 -0.050000 0.031287 0.712682
0.020000 1.015905 0.200000 0.229412 -0.014056 0.153032 0.018338 0.391825
0.099512 0.754410 0.300000 0.229412 -0.017376 0.169901 0.027260 0.000000
0.128701 0.584589 0.400000 0.229412 -0.015445 0.142621 0.045489 0.000000
0.144081 0.479950 0.500000 0.229412 -0.012666 0.120627 0.064414 0.000000
0.155082 0.414291 0.600000 0.229412 -0.011465 0.107644 0.087762 0.000000
0.162651 0.376110 0.700000 0.229412 -0.011472 0.104072 0.110226 0.000000
0.168123 0.351618 0.800000 0.229412 -0.011702 0.102264 0.130567 0.000000
0.172527 0.333624 0.900000 0.229412 -0.011911 0.100611 0.149971 0.000000
0.176311 0.319283 1.000000 0.229412 -0.012071 0.098955 0.169106 0.000000
0.000000 1.050000 0.000000 0.270588 -0.050000 -0.050000 0.000000 1.000000
0.020000 1.050000 0.100000 0.270588 -0.050000 -0.050000 0.031287 0.688896
0.020000 1.050000 0.200000 0.270588 -0.045618 -0.050000 0.032096 0.625972
0.070663 0.888047 0.300000 0.270588 -0.021751 0.176403 0.020805 0.000000
0.115821 0.686345 0.400000 0.270588 -0.017035 0.166898 0.040799 0.000000
0.135845 0.561668 0.500000 0.270588 -0.015047 0.142653 0.059218 0.000000
0.149741 0.480732 0.600000 0.270588 -0.012420 0.123126 0.084151 0.000000
0.159378 0.434944 0.700000 0.270588 -0.011954 0.117834 0.110459 0.000000
