# T[GeV]  muB[GeV]  eps[GeV/fm^3]  nB[1/fm^3]  muQ[GeV]  muS[GeV]  P[GeV/fm^3]  residual
0.165971 0.053036 0.550000 -0.025000 -0.001458 0.016350 0.086174 0.050000
0.167861 -0.049080 0.600000 -0.025000 0.001773 -0.013329 0.093641 0.000000
0.169590 -0.046455 0.650000 -0.025000 0.001697 -0.013400 0.100963 0.000000
0.171256 -0.044377 0.700000 -0.025000 0.001671 -0.013500 0.108524 0.000000
0.172876 -0.042692 0.750000 -0.025000 0.001694 -0.013592 0.116352 0.000000
0.174457 -0.041293 0.800000 -0.025000 0.001762 -0.013657 0.124459 0.000000
0.176005 -0.040110 0.850000 -0.025000 0.001868 -0.013690 0.132842 0.000000
0.177521 -0.039091 0.900000 -0.025000 0.002002 -0.013690 0.141488 0.000000
0.179006 -0.038206 0.950000 -0.025000 0.002153 -0.013665 0.150374 0.000000
0.180458 -0.037431 1.000000 -0.025000 0.002312 -0.013619 0.159474 0.000000
0.000000 0.017516 0.000000 -0.000000 -0.002702 0.014212 0.000000 1.000000
0.120661 0.017516 0.050000 -0.000000 -0.002702 0.014212 0.010961 0.000000
0.133129 0.001393 0.100000 -0.000000 -0.001705 0.007836 0.019472 0.000000
0.140659 -0.000822 0.150000 -0.000000 -0.001086 0.005722 0.027532 0.000000
0.146242 -0.000596 0.200000 -0.000000 -0.000535 0.004938 0.035518 0.000000
0.150714 0.000299 0.250000 -0.000000 -0.000021 0.004748 0.043450 0.000000
0.154383 0.001264 0.300000 -0.000000 0.000364 0.004699 0.051179 0.000000
0.157431 0.001979 0.350000 -0.000000 0.000562 0.004542 0.058588 0.000000
0.160018 0.002338 0.400000 -0.000000 0.000594 0.004210 0.065698 0.000000
0.162278 0.002370 0.450000 -0.000000 0.000520 0.003726 0.072622 0.000000
0.164314 0.002151 0.500000 -0.000000 0.000398 0.003139 0.079488 0.000000
0.166197 0.001760 0.550000 -0.000000 0.000272 0.002498 0.086409 0.000000
0.167974 0.001264 0.600000 -0.000000 0.000169 0.001843 0.093477 0.000000
0.169676 0.000716 0.650000 -0.000000 0.000106 0.001203 0.100757 0.000000
0.171325 0.000154 0.700000 -0.000000 0.000091 0.000601 0.108294 0.000000
0.172933 -0.000396 0.750000 -0.000000 0.000123 0.000050 0.116114 0.000000
0.174507 -0.000917 0.800000 -0.000000 0.000198 -0.000444 0.124222 0.000000
0.176050 -0.001401 0.850000 -0.000000 0.000309 -0.000880 0.132612 0.000000
0.177562 -0.001849 0.900000 -0.000000 0.000446 -0.001263 0.141266 0.000000
0.179043 -0.002262 0.950000 -0.000000 0.000599 -0.001597 0.150158 0.000000
0.180492 -0.002645 1.000000 -0.000000 0.000760 -0.001889 0.159264 0.000000
0.000000 0.502185 0.000000 0.025000 -0.009788 0.075706 0.000000 1.000000
0.102178 0.502185 0.050000 0.025000 -0.009788 0.075706 0.006357 0.000000
0.125800 0.319744 0.100000 0.025000 -0.006152 0.043802 0.016362 0.000000
0.136847 0.226460 0.150000 0.025000 -0.003965 0.037446 0.025515 0.000000
0.144143 0.163598 0.200000 0.025000 -0.002924 0.031748 0.034250 0.000000
0.149535 0.122205 0.250000 0.025000 -0.002303 0.027077 0.042712 0.000000
0.153656 0.097436 0.300000 0.025000 -0.001823 0.023862 0.050734 0.000000
0.156928 0.081959 0.350000 0.025000 -0.001511 0.021656 0.058278 0.000000
0.159636 0.071437 0.400000 0.025000 -0.001369 0.020000 0.065442 0.000000
0.161969 0.063743 0.450000 0.025000 -0.001347 0.018637 0.072382 0.000000
0.164053 0.057804 0.500000 0.025000 -0.001392 0.017440 0.079251 0.000000
0.165971 0.053036 0.550000 0.025000 -0.001458 0.016350 0.086174 0.000000
0.167776 0.049101 0.600000 0.025000 -0.001517 0.015342 0.093246 0.000000
0.169502 0.045788 0.650000 0.025000 -0.001549 0.014404 0.100537 0.000000
0.171171 0.042956 0.700000 0.025000 -0.001544 0.013533 0.108090 0.000000
0.172796 0.040507 0.750000 0.025000 -0.001500 0.012726 0.115929 0.000000
0.174386 0.038369 0.800000 0.025000 -0.001419 0.011981 0.124060 0.000000
0.175941 0.036484 0.850000 0.025000 -0.001305 0.011297 0.132471 0.000000
0.177464 0.034807 0.900000 0.025000 -0.001169 0.010668 0.141143 0.000000
0.178955 0.033300 0.950000 0.025000 -0.001016 0.010091 0.150051 0.000000
0.180411 0.031935 1.000000 0.025000 -0.000856 0.009561 0.159169 0.000000
0.000000 0.902581 0.000000 0.050000 -0.015324 0.127651 0.000000 1.000000
0.033603 0.902581 0.050000 0.050000 -0.015324 0.127651 0.001489 0.000000
0.113421 0.495777 0.100000 0.050000 -0.010892 0.087454 0.012733 0.000000
0.129906 0.369226 0.150000 0.050000 -0.008990 0.062382 0.022282 0.000000
0.139277 0.293446 0.200000 0.050000 -0.007324 0.052530 0.031271 0.000000
0.145946 0.238716 0.250000 0.050000 -0.006025 0.045884 0.040065 0.000000
0.151139 0.195932 0.300000 0.050000 -0.005022 0.040905 0.048690 0.000000
0.155192 0.164042 0.350000 0.050000 -0.004280 0.037207 0.056838 0.000000
0.158394 0.141390 0.400000 0.050000 -0.003796 0.034453 0.064434 0.000000
0.161035 0.125133 0.450000 0.050000 -0.003521 0.032340 0.071658 0.000000
0.163321 0.113047 0.500000 0.050000 -0.003385 0.030642 0.078719 0.000000
0.165377 0.103736 0.550000 0.050000 -0.003325 0.029215 0.085779 0.000000
0.167282 0.096348 0.600000 0.050000 -0.003299 0.027972 0.092958 0.000000
0.169084 0.090346 0.650000 0.050000 -0.003276 0.026861 0.100336 0.000000
0.170812 0.085374 0.700000 0.050000 -0.003239 0.025849 0.107964 0.000000
0.172484 0.081185 0.750000 0.050000 -0.003179 0.024917 0.115866 0.000000
0.174110 0.077602 0.800000 0.050000 -0.003094 0.024050 0.124049 0.000000
0.175696 0.074490 0.850000 0.050000 -0.002985 0.023239 0.132504 0.000000
0.177244 0.071749 0.900000 0.050000 -0.002856 0.022477 0.141210 0.000000
0.178754 0.069302 0.950000 0.050000 -0.002714 0.021761 0.150144 0.000000
0.180227 0.067091 1.000000 0.050000 -0.002563 0.021085 0.159279 0.000000
0.000000 0.902581 0.000000 0.075000 -0.015324 0.127651 0.000000 1.000000
0.033603 0.902581 0.050000 0.075000 -0.015324 0.127651 0.001489 0.025000
0.092287 0.677915 0.100000 0.075000 -0.014163 0.148609 0.009127 0.000000
0.120094 0.496574 0.150000 0.075000 -0.011461 0.098113 0.018976 0.000000
0.133059 0.398011 0.200000 0.075000 -0.010378 0.075927 0.028231 0.000000
0.141339 0.332112 0.250000 0.075000 -0.009182 0.064663 0.037121 0.000000
0.147487 0.282176 0.300000 0.075000 -0.008055 0.057232 0.045855 0.000000
0.152364 0.242032 0.350000 0.075000 -0.007092 0.051874 0.054406 0.000000
0.156275 0.210296 0.400000 0.075000 -0.006336 0.047991 0.062582 0.000000
0.159443 0.186137 0.450000 0.075000 -0.005799 0.045124 0.070334 0.000000
0.162094 0.167921 0.500000 0.075000 -0.005449 0.042936 0.077803 0.000000
0.164405 0.154000 0.550000 0.075000 -0.005230 0.041202 0.085174 0.000000
0.166492 0.143137 0.600000 0.075000 -0.005093 0.039774 0.092592 0.000000
0.168428 0.134482 0.650000 0.075000 -0.004999 0.038558 0.100162 0.000000
0.170257 0.127455 0.700000 0.075000 -0.004922 0.037492 0.107944 0.000000
0.172007 0.121645 0.750000 0.075000 -0.004845 0.036532 0.115973 0.000000
0.173694 0.116758 0.800000 0.075000 -0.004760 0.035651 0.124257 0.000000
0.175327 0.112574 0.850000 0.075000 -0.004664 0.034829 0.132791 0.000000
0.176913 0.108929 0.900000 0.075000 -0.004555 0.034050 0.141555 0.000000
0.178453 0.105700 0.950000 0.075000 -0.004437 0.033307 0.150531 0.000000
0.179950 0.102794 1.000000 0.075000 -0.004312 0.032594 0.159694 0.000000
0.000000 0.902581 0.000000 0.100000 -0.015324 0.127651 0.000000 1.000000
0.033603 0.902581 0.050000 0.100000 -0.015324 0.127651 0.001489 0.050000
0.034181 0.928055 0.100000 0.100000 -0.017461 0.150442 0.003429 0.000000
0.105705 0.628522 0.150000 0.100000 -0.013017 0.135150 0.015530 0.000000
0.124809 0.499679 0.200000 0.100000 -0.011864 0.105926 0.025117 0.000000
0.135628 0.418135 0.250000 0.100000 -0.011231 0.086325 0.034157 0.000000
0.143093 0.359092 0.300000 0.100000 -0.010375 0.074722 0.042933 0.000000
0.148823 0.312841 0.350000 0.100000 -0.009456 0.066901 0.051603 0.000000
0.153446 0.275386 0.400000 0.100000 -0.008620 0.061356 0.060149 0.000000
0.157232 0.245336 0.450000 0.100000 -0.007939 0.057427 0.068447 0.000000
0.160373 0.221794 0.500000 0.100000 -0.007430 0.054591 0.076466 0.000000
0.163047 0.203531 0.550000 0.100000 -0.007072 0.052471 0.084307 0.000000
0.165400 0.189287 0.600000 0.100000 -0.006826 0.050826 0.092110 0.000000
0.167533 0.178034 0.650000 0.100000 -0.006657 0.049501 0.099991 0.000000
0.169510 0.169007 0.700000 0.100000 -0.006535 0.048397 0.108026 0.000000
0.171372 0.161644 0.750000 0.100000 -0.006439 0.047447 0.116259 0.000000
0.173145 0.155535 0.800000 0.100000 -0.006354 0.046604 0.124706 0.000000
0.174845 0.150371 0.850000 0.100000 -0.006273 0.045834 0.133364 0.000000
0.176482 0.145924 0.900000 0.100000 -0.006191 0.045115 0.142222 0.000000
0.178063 0.142023 0.950000 0.100000 -0.006106 0.044430 0.151264 0.000000
0.179592 0.138540 1.000000 0.100000 -0.006017 0.043769 0.160471 0.000000
0.000000 0.902581 0.000000 0.125000 -0.015324 0.127651 0.000000 1.000000
0.033603 0.902581 0.050000 0.125000 -0.015324 0.127651 0.001489 0.075000
0.034181 0.928055 0.100000 0.125000 -0.017461 0.150442 0.003429 0.025000
0.083320 0.773625 0.150000 0.125000 -0.018561 0.183762 0.011913 0.000000
0.113638 0.604671 0.200000 0.125000 -0.012813 0.134648 0.021812 0.000000
0.128437 0.503489 0.250000 0.125000 -0.012222 0.112101 0.031155 0.000000
0.137783 0.433315 0.300000 0.125000 -0.011859 0.094729 0.039990 0.000000
0.144630 0.379563 0.350000 0.125000 -0.011245 0.083321 0.048703 0.000000
0.150047 0.336625 0.400000 0.125000 -0.010515 0.075463 0.057441 0.000000
0.154491 0.301880 0.450000 0.125000 -0.009819 0.069967 0.066160 0.000000
0.158189 0.274006 0.500000 0.125000 -0.009239 0.066140 0.074747 0.000000
0.161311 0.251963 0.550000 0.125000 -0.008792 0.063430 0.083165 0.000000
0.164007 0.234620 0.600000 0.125000 -0.008465 0.061443 0.091482 0.000000
0.166397 0.220913 0.650000 0.125000 -0.008232 0.059931 0.099795 0.000000
0.168569 0.209962 0.700000 0.125000 -0.008066 0.058739 0.108185 0.000000
0.170579 0.201088 0.750000 0.125000 -0.007948 0.057764 0.116704 0.000000
0.172465 0.193778 0.800000 0.125000 -0.007859 0.056939 0.125377 0.000000
0.174252 0.187650 0.850000 0.125000 -0.007788 0.056216 0.134208 0.000000
0.175955 0.182414 0.900000 0.125000 -0.007728 0.055561 0.143196 0.000000
0.177588 0.177858 0.950000 0.125000 -0.007674 0.054950 0.152331 0.000000
0.179158 0.173822 1.000000 0.125000 -0.007622 0.054368 0.161602 0.000000
0.000000 0.902581 0.000000 0.150000 -0.015324 0.127651 0.000000 1.000000
0.033603 0.902581 0.050000 0.150000 -0.015324 0.127651 0.001489 0.100000
0.034181 0.928055 0.100000 0.150000 -0.017461 0.150442 0.003429 0.050000
0.033176 0.947434 0.150000 0.150000 -0.018739 0.174010 0.005376 0.000000
0.098793 0.712781 0.200000 0.150000 -0.015729 0.164667 0.018487 0.000000
0.119251 0.590880 0.250000 0.150000 -0.012869 0.136464 0.027992 0.000000
0.131356 0.507386 0.300000 0.150000 -0.012581 0.117354 0.037052 0.000000
0.139653 0.445375 0.350000 0.150000 -0.012379 0.101780 0.045762 0.000000
0.146051 0.396068 0.400000 0.150000 -0.011943 0.090886 0.054580 0.000000
0.151250 0.356337 0.450000 0.150000 -0.011380 0.083314 0.063600 0.000000
0.155575 0.324411 0.500000 0.150000 -0.010828 0.078101 0.072708 0.000000
0.159213 0.298997 0.550000 0.150000 -0.010361 0.074529 0.081758 0.000000
0.162318 0.278902 0.600000 0.150000 -0.009997 0.072028 0.090695 0.000000
0.165023 0.262984 0.650000 0.150000 -0.009726 0.070211 0.099553 0.000000
0.167434 0.250259 0.700000 0.150000 -0.009530 0.068840 0.108396 0.000000
0.169626 0.239950 0.750000 0.150000 -0.009392 0.067765 0.117277 0.000000
0.171650 0.231463 0.800000 0.150000 -0.009296 0.066890 0.126231 0.000000
0.173543 0.224353 0.850000 0.150000 -0.009228 0.066152 0.135277 0.000000
0.175329 0.218289 0.900000 0.150000 -0.009181 0.065508 0.144422 0.000000
0.177026 0.213027 0.950000 0.150000 -0.009147 0.064926 0.153671 0.000000
0.178647 0.208386 1.000000 0.150000 -0.009120 0.064387 0.163021 0.000000
0.000000 0.928055 0.000000 0.175000 -0.017461 0.150442 0.000000 1.000000
0.033603 0.902581 0.050000 0.175000 -0.015324 0.127651 0.001489 0.125000
0.034181 0.928055 0.100000 0.175000 -0.017461 0.150442 0.003429 0.075000
0.033176 0.947434 0.150000 0.175000 -0.018739 0.174010 0.005376 0.025000
0.076539 0.831803 0.200000 0.175000 -0.021369 0.200063 0.014556 0.000000
0.107659 0.680381 0.250000 0.175000 -0.014661 0.157812 0.024743 0.000000
0.123516 0.582503 0.300000 0.175000 -0.013061 0.138848 0.034028 0.000000
0.133798 0.511198 0.350000 0.175000 -0.012942 0.121956 0.042850 0.000000
0.141361 0.455422 0.400000 0.175000 -0.012841 0.107891 0.051626 0.000000
0.147451 0.410078 0.450000 0.175000 -0.012548 0.097761 0.060800 0.000000
0.152508 0.373598 0.500000 0.175000 -0.012143 0.090768 0.070357 0.000000
0.156752 0.344690 0.550000 0.175000 -0.011741 0.086057 0.080071 0.000000
0.160340 0.321967 0.600000 0.175000 -0.011402 0.082871 0.089728 0.000000
0.163416 0.304049 0.650000 0.175000 -0.011136 0.080640 0.099244 0.000000
0.166108 0.289744 0.700000 0.175000 -0.010938 0.079002 0.108633 0.000000
0.168511 0.278131 0.750000 0.175000 -0.010794 0.077744 0.117944 0.000000
0.170697 0.268529 0.800000 0.175000 -0.010693 0.076738 0.127226 0.000000
0.172714 0.260445 0.850000 0.175000 -0.010625 0.075905 0.136514 0.000000
0.174596 0.253521 0.900000 0.175000 -0.010581 0.075191 0.145836 0.000000
0.176369 0.247495 0.950000 0.175000 -0.010554 0.074562 0.155209 0.000000
0.178050 0.242174 1.000000 0.175000 -0.010539 0.073994 0.164645 0.000000
0.000000 0.928055 0.000000 0.200000 -0.017461 0.150442 0.000000 1.000000
0.033603 0.902581 0.050000 0.200000 -0.015324 0.127651 0.001489 0.150000
0.034181 0.928055 0.100000 0.200000 -0.017461 0.150442 0.003429 0.100000
0.033176 0.947434 0.150000 0.200000 -0.018739 0.174010 0.005376 0.050000
0.031808 0.962683 0.200000 0.200000 -0.019610 0.199956 0.007318 0.000000
0.092422 0.774807 0.250000 0.200000 -0.018428 0.185213 0.021383 0.000000
0.113892 0.659595 0.300000 0.200000 -0.014234 0.156578 0.030865 0.000000
0.126911 0.577418 0.350000 0.200000 -0.013329 0.141318 0.039932 0.000000
0.135943 0.514928 0.400000 0.200000 -0.013300 0.126067 0.048693 0.000000
0.143012 0.464168 0.450000 0.200000 -0.013275 0.113391 0.057813 0.000000
0.148913 0.422554 0.500000 0.200000 -0.013115 0.104259 0.067655 0.000000
0.153881 0.389520 0.550000 0.200000 -0.012876 0.098113 0.078024 0.000000
0.158053 0.363888 0.600000 0.200000 -0.012637 0.094079 0.088511 0.000000
0.161573 0.343983 0.650000 0.200000 -0.012436 0.091353 0.098818 0.000000
0.164592 0.328236 0.700000 0.200000 -0.012277 0.089394 0.108860 0.000000
0.167238 0.315461 0.750000 0.200000 -0.012154 0.087896 0.118669 0.000000
0.169605 0.304845 0.800000 0.200000 -0.012063 0.086693 0.128317 0.000000
0.171761 0.295838 0.850000 0.200000 -0.011997 0.085689 0.137869 0.000000
0.173751 0.288061 0.900000 0.200000 -0.011952 0.084828 0.147376 0.000000
0.175610 0.281246 0.950000 0.200000 -0.011923 0.084073 0.156877 0.000000
0.177361 0.275199 1.000000 0.200000 -0.011908 0.083399 0.166400 0.000000
0.000000 0.928055 0.000000 0.225000 -0.017461 0.150442 0.000000 1.000000
0.033603 0.902581 0.050000 0.225000 -0.015324 0.127651 0.001489 0.175000
0.034181 0.928055 0.100000 0.225000 -0.017461 0.150442 0.003429 0.125000
0.033176 0.947434 0.150000 0.225000 -0.018739 0.174010 0.005376 0.075000
0.031808 0.962683 0.200000 0.225000 -0.019610 0.199956 0.007318 0.025000
0.071266 0.871468 0.250000 0.225000 -0.022992 0.212142 0.017176 0.000000
0.102081 0.738865 0.300000 0.225000 -0.016817 0.177278 0.027695 0.000000
0.118676 0.645159 0.350000 0.225000 -0.014142 0.157482 0.036891 0.000000
0.129741 0.574479 0.400000 0.225000 -0.013629 0.143708 0.045816 0.000000
0.137933 0.518613 0.450000 0.225000 -0.013656 0.129857 0.054792 0.000000
0.144706 0.472111 0.500000 0.225000 -0.013712 0.118586 0.064617 0.000000
0.150509 0.434255 0.550000 0.225000 -0.013701 0.110699 0.075497 0.000000
0.155404 0.405012 0.600000 0.225000 -0.013645 0.105621 0.086907 0.000000
0.159473 0.382835 0.650000 0.225000 -0.013581 0.102339 0.098185 0.000000
0.162883 0.365638 0.700000 0.225000 -0.013515 0.100040 0.109019 0.000000
0.165806 0.351795 0.750000 0.225000 -0.013452 0.098280 0.119410 0.000000
