# T[GeV]  muB[GeV]  eps[GeV/fm^3]  nB[1/fm^3]  muQ[GeV]  muS[GeV]  P[GeV/fm^3]  residual
0.170544 0.386837 0.900000 0.275000 -0.015859 0.114382 0.152362 0.000000
0.172711 0.377893 0.950000 0.275000 -0.015839 0.112972 0.162261 0.000000
0.174715 0.369798 1.000000 0.275000 -0.015808 0.111683 0.172041 0.000000
0.000000 0.947434 0.000000 0.300000 -0.018739 0.174010 0.000000 1.000000
0.033603 0.902581 0.050000 0.300000 -0.015324 0.127651 0.001489 0.250000
0.034181 0.928055 0.100000 0.300000 -0.017461 0.150442 0.003429 0.200000
0.033176 0.947434 0.150000 0.300000 -0.018739 0.174010 0.005376 0.150000
0.031808 0.962683 0.200000 0.300000 -0.019610 0.199956 0.007318 0.100000
0.030341 0.975192 0.250000 0.300000 -0.020305 0.225475 0.009259 0.050000
0.028799 0.985935 0.300000 0.300000 -0.021009 0.242612 0.011203 0.000000
0.082388 0.855870 0.350000 0.300000 -0.022326 0.210993 0.027020 0.000000
0.104106 0.760197 0.400000 0.300000 -0.017775 0.189765 0.036814 0.000000
0.118297 0.683868 0.450000 0.300000 -0.015409 0.173666 0.046006 0.000000
0.128609 0.622966 0.500000 0.300000 -0.014670 0.162171 0.055356 0.000000
0.136832 0.572951 0.550000 0.300000 -0.014625 0.150915 0.065552 0.000000
0.144223 0.530248 0.600000 0.300000 -0.014956 0.141638 0.078072 0.000000
0.150920 0.496364 0.650000 0.300000 -0.015575 0.135888 0.093129 0.000000
0.156304 0.472432 0.700000 0.300000 -0.016191 0.132627 0.107983 0.000000
0.160471 0.454866 0.750000 0.300000 -0.016611 0.130231 0.121109 0.000000
0.163848 0.440734 0.800000 0.300000 -0.016853 0.128131 0.132848 0.000000
0.166722 0.428677 0.850000 0.300000 -0.016976 0.126204 0.143722 0.000000
0.169256 0.418051 0.900000 0.300000 -0.017024 0.124421 0.154077 0.000000
0.171543 0.408510 0.950000 0.300000 -0.017027 0.122772 0.164126 0.000000
0.173645 0.399839 1.000000 0.300000 -0.017004 0.121247 0.174000 0.000000
0.000000 0.947434 0.000000 0.325000 -0.018739 0.174010 0.000000 1.000000
0.033603 0.902581 0.050000 0.325000 -0.015324 0.127651 0.001489 0.275000
0.034181 0.928055 0.100000 0.325000 -0.017461 0.150442 0.003429 0.225000
0.033176 0.947434 0.150000 0.325000 -0.018739 0.174010 0.005376 0.175000
0.031808 0.962683 0.200000 0.325000 -0.019610 0.199956 0.007318 0.125000
0.030341 0.975192 0.250000 0.325000 -0.020305 0.225475 0.009259 0.075000
0.028799 0.985935 0.300000 0.325000 -0.021009 0.242612 0.011203 0.025000
0.062339 0.927100 0.350000 0.325000 -0.024318 0.224332 0.022222 0.000000
0.092367 0.823386 0.400000 0.325000 -0.020671 0.206634 0.033579 0.000000
0.109680 0.741000 0.450000 0.325000 -0.017115 0.187865 0.042994 0.000000
0.121907 0.674136 0.500000 0.325000 -0.015439 0.174724 0.052389 0.000000
0.131261 0.619808 0.550000 0.325000 -0.014958 0.163917 0.062323 0.000000
0.139271 0.573997 0.600000 0.325000 -0.015063 0.153940 0.074088 0.000000
0.146874 0.535354 0.650000 0.325000 -0.015694 0.146949 0.089494 0.000000
0.153383 0.507296 0.700000 0.325000 -0.016614 0.143314 0.106453 0.000000
0.158249 0.487777 0.750000 0.325000 -0.017317 0.140849 0.121188 0.000000
0.162022 0.472574 0.800000 0.325000 -0.017739 0.138610 0.133804 0.000000
0.165146 0.459750 0.850000 0.325000 -0.017970 0.136485 0.145162 0.000000
0.167855 0.448486 0.900000 0.325000 -0.018084 0.134479 0.155800 0.000000
0.170276 0.438371 0.950000 0.325000 -0.018124 0.132600 0.166019 0.000000
0.172484 0.429165 1.000000 0.325000 -0.018121 0.130846 0.175997 0.000000
0.000000 0.962683 0.000000 0.350000 -0.019610 0.199956 0.000000 1.000000
0.033603 0.902581 0.050000 0.350000 -0.015324 0.127651 0.001489 0.300000
0.034181 0.928055 0.100000 0.350000 -0.017461 0.150442 0.003429 0.250000
0.033176 0.947434 0.150000 0.350000 -0.018739 0.174010 0.005376 0.200000
0.031808 0.962683 0.200000 0.350000 -0.019610 0.199956 0.007318 0.150000
0.030341 0.975192 0.250000 0.350000 -0.020305 0.225475 0.009259 0.100000
0.028799 0.985935 0.300000 0.350000 -0.021009 0.242612 0.011203 0.050000
0.062339 0.927100 0.350000 0.350000 -0.024318 0.224332 0.022222 0.025000
0.078311 0.884254 0.400000 0.350000 -0.023505 0.220207 0.029810 0.000000
0.099745 0.798441 0.450000 0.350000 -0.019475 0.203562 0.039915 0.000000
0.114267 0.726313 0.500000 0.350000 -0.016765 0.187394 0.049368 0.000000
0.125114 0.667044 0.550000 0.350000 -0.015584 0.176013 0.059229 0.000000
0.133904 0.617987 0.600000 0.350000 -0.015310 0.166018 0.070323 0.000000
0.142084 0.575875 0.650000 0.350000 -0.015689 0.157927 0.084894 0.000000
0.149848 0.542723 0.700000 0.350000 -0.016770 0.153689 0.103710 0.000000
0.155705 0.520440 0.750000 0.350000 -0.017818 0.151297 0.120750 0.000000
0.159995 0.503902 0.800000 0.350000 -0.018466 0.149006 0.134565 0.000000
0.163423 0.490206 0.850000 0.350000 -0.018833 0.146722 0.146538 0.000000
0.166337 0.478261 0.900000 0.350000 -0.019028 0.144514 0.157517 0.000000
0.168908 0.467565 0.950000 0.350000 -0.019120 0.142418 0.167937 0.000000
0.171232 0.457837 1.000000 0.350000 -0.019146 0.140447 0.178037 0.000000
0.000000 0.962683 0.000000 0.375000 -0.019610 0.199956 0.000000 1.000000
0.033603 0.902581 0.050000 0.375000 -0.015324 0.127651 0.001489 0.325000
0.034181 0.928055 0.100000 0.375000 -0.017461 0.150442 0.003429 0.275000
0.033176 0.947434 0.150000 0.375000 -0.018739 0.174010 0.005376 0.225000
0.031808 0.962683 0.200000 0.375000 -0.019610 0.199956 0.007318 0.175000
0.030341 0.975192 0.250000 0.375000 -0.020305 0.225475 0.009259 0.125000
0.028799 0.985935 0.300000 0.375000 -0.021009 0.242612 0.011203 0.075000
0.062339 0.927100 0.350000 0.375000 -0.024318 0.224332 0.022222 0.050000
0.058690 0.946777 0.400000 0.375000 -0.024481 0.233892 0.024623 0.000000
0.088368 0.853984 0.450000 0.375000 -0.022113 0.216605 0.036572 0.000000
0.105592 0.778939 0.500000 0.375000 -0.018678 0.201413 0.046314 0.000000
0.118218 0.715066 0.550000 0.375000 -0.016638 0.187795 0.056138 0.000000
0.128119 0.662078 0.600000 0.375000 -0.015822 0.177562 0.066873 0.000000
0.136775 0.617313 0.650000 0.375000 -0.015798 0.168851 0.080171 0.000000
0.145478 0.579499 0.700000 0.375000 -0.016703 0.163612 0.099293 0.000000
0.152716 0.553257 0.750000 0.375000 -0.018103 0.161442 0.119471 0.000000
0.157720 0.534973 0.800000 0.375000 -0.019033 0.159255 0.135019 0.000000
0.161531 0.520239 0.850000 0.375000 -0.019563 0.156875 0.147807 0.000000
0.164687 0.507530 0.900000 0.375000 -0.019856 0.154493 0.159214 0.000000
0.167431 0.496213 0.950000 0.375000 -0.020009 0.152198 0.169877 0.000000
0.169887 0.485949 1.000000 0.375000 -0.020074 0.150022 0.180121 0.000000
0.000000 0.962683 0.000000 0.400000 -0.019610 0.199956 0.000000 1.000000
0.033603 0.902581 0.050000 0.400000 -0.015324 0.127651 0.001489 0.350000
0.034181 0.928055 0.100000 0.400000 -0.017461 0.150442 0.003429 0.300000
0.033176 0.947434 0.150000 0.400000 -0.018739 0.174010 0.005376 0.250000
0.031808 0.962683 0.200000 0.400000 -0.019610 0.199956 0.007318 0.200000
0.030341 0.975192 0.250000 0.400000 -0.020305 0.225475 0.009259 0.150000
0.028799 0.985935 0.300000 0.400000 -0.021009 0.242612 0.011203 0.100000
0.062339 0.927100 0.350000 0.400000 -0.024318 0.224332 0.022222 0.075000
0.025554 1.003765 0.400000 0.400000 -0.021521 0.035144 0.015362 0.000024
0.074535 0.908266 0.450000 0.400000 -0.024232 0.226213 0.032589 0.000000
0.095830 0.830529 0.500000 0.400000 -0.020963 0.214451 0.043142 0.000000
0.110471 0.763626 0.550000 0.400000 -0.018189 0.200314 0.053020 0.000000
0.121770 0.706630 0.600000 0.400000 -0.016682 0.188729 0.063573 0.000000
0.131146 0.658893 0.650000 0.400000 -0.016179 0.179599 0.075931 0.000000
0.140244 0.617990 0.700000 0.400000 -0.016606 0.173153 0.093473 0.000000
0.149085 0.586735 0.750000 0.400000 -0.018168 0.171068 0.116803 0.000000
0.155124 0.566064 0.800000 0.400000 -0.019444 0.169264 0.134986 0.000000
0.159436 0.550057 0.850000 0.400000 -0.020167 0.166894 0.148905 0.000000
0.162889 0.536463 0.900000 0.400000 -0.020573 0.164385 0.160864 0.000000
0.165835 0.524454 0.950000 0.400000 -0.020795 0.161916 0.171830 0.000000
0.168442 0.513616 1.000000 0.400000 -0.020905 0.159550 0.182251 0.000000
0.000000 0.962683 0.000000 0.425000 -0.019610 0.199956 0.000000 1.000000
0.033603 0.902581 0.050000 0.425000 -0.015324 0.127651 0.001489 0.375000
0.034181 0.928055 0.100000 0.425000 -0.017461 0.150442 0.003429 0.325000
0.033176 0.947434 0.150000 0.425000 -0.018739 0.174010 0.005376 0.275000
0.031808 0.962683 0.200000 0.425000 -0.019610 0.199956 0.007318 0.225000
0.030341 0.975192 0.250000 0.425000 -0.020305 0.225475 0.009259 0.175000
0.028799 0.985935 0.300000 0.425000 -0.021009 0.242612 0.011203 0.125000
0.062339 0.927100 0.350000 0.425000 -0.024318 0.224332 0.022222 0.100000
0.025554 1.003765 0.400000 0.425000 -0.021521 0.035144 0.015362 0.024997
0.055500 0.962843 0.450000 0.425000 -0.024483 0.244621 0.026977 0.000000
0.084780 0.879775 0.500000 0.425000 -0.023203 0.223611 0.039664 0.000000
0.101844 0.811717 0.550000 0.425000 -0.020130 0.212762 0.049859 0.000000
0.114726 0.751688 0.600000 0.425000 -0.017949 0.200127 0.060298 0.000000
0.125141 0.700608 0.650000 0.425000 -0.016881 0.190126 0.072126 0.000000
0.134536 0.657361 0.700000 0.425000 -0.016761 0.182636 0.087669 0.000000
0.144515 0.621513 0.750000 0.425000 -0.018035 0.179874 0.111950 0.000000
0.152096 0.597483 0.800000 0.425000 -0.019703 0.178876 0.134157 0.000000
0.157091 0.579872 0.850000 0.425000 -0.020657 0.176707 0.149728 0.000000
0.160917 0.565230 0.900000 0.425000 -0.021189 0.174147 0.162428 0.000000
0.164106 0.552433 0.950000 0.425000 -0.021488 0.171542 0.173781 0.000000
0.166888 0.540960 1.000000 0.425000 -0.021648 0.169010 0.184422 0.000000
0.000000 0.962683 0.000000 0.450000 -0.019610 0.199956 0.000000 1.000000
0.033603 0.902581 0.050000 0.450000 -0.015324 0.127651 0.001489 0.400000
0.034181 0.928055 0.100000 0.450000 -0.017461 0.150442 0.003429 0.350000
0.033176 0.947434 0.150000 0.450000 -0.018739 0.174010 0.005376 0.300000
0.031808 0.962683 0.200000 0.450000 -0.019610 0.199956 0.007318 0.250000
0.030341 0.975192 0.250000 0.450000 -0.020305 0.225475 0.009259 0.200000
0.028799 0.985935 0.300000 0.450000 -0.021009 0.242612 0.011203 0.150000
0.062339 0.927100 0.350000 0.450000 -0.024318 0.224332 0.022222 0.125000
0.025554 1.003765 0.400000 0.450000 -0.021521 0.035144 0.015362 0.049997
0.023669 1.011564 0.450000 0.450000 -0.021690 0.019025 0.017365 0.000001
0.071022 0.928951 0.500000 0.450000 -0.024574 0.228132 0.035394 0.000000
0.092329 0.857890 0.550000 0.450000 -0.022192 0.222184 0.046563 0.000000
0.106946 0.796625 0.600000 0.450000 -0.019582 0.211634 0.057019 0.000000
0.118611 0.742645 0.650000 0.450000 -0.017924 0.200653 0.068518 0.000000
0.128609 0.696798 0.700000 0.450000 -0.017275 0.192196 0.082688 0.000000
0.138871 0.657974 0.750000 0.450000 -0.017878 0.187819 0.104781 0.000000
0.148450 0.629582 0.800000 0.450000 -0.019809 0.187819 0.131984 0.000000
0.154430 0.609900 0.850000 0.450000 -0.021046 0.186191 0.150103 0.000000
0.158738 0.593994 0.900000 0.450000 -0.021720 0.183708 0.163836 0.000000
0.162223 0.580285 0.950000 0.450000 -0.022101 0.181029 0.175699 0.000000
0.165211 0.568098 1.000000 0.450000 -0.022313 0.178368 0.186620 0.000000
0.000000 0.975192 0.000000 0.475000 -0.020305 0.225475 0.000000 1.000000
0.033603 0.902581 0.050000 0.475000 -0.015324 0.127651 0.001489 0.425000
0.034181 0.928055 0.100000 0.475000 -0.017461 0.150442 0.003429 0.375000
0.033176 0.947434 0.150000 0.475000 -0.018739 0.174010 0.005376 0.325000
0.031808 0.962683 0.200000 0.475000 -0.019610 0.199956 0.007318 0.275000
0.030341 0.975192 0.250000 0.475000 -0.020305 0.225475 0.009259 0.225000
0.028799 0.985935 0.300000 0.475000 -0.021009 0.242612 0.011203 0.175000
0.062339 0.927100 0.350000 0.475000 -0.024318 0.224332 0.022222 0.150000
0.025554 1.003765 0.400000 0.475000 -0.021521 0.035144 0.015362 0.074997
0.023669 1.011564 0.450000 0.475000 -0.021690 0.019025 0.017365 0.025000
0.052646 0.976445 0.500000 0.475000 -0.024525 0.249184 0.029328 0.000000
0.081468 0.902314 0.550000 0.475000 -0.023938 0.227427 0.042914 0.000000
0.098453 0.840273 0.600000 0.475000 -0.021403 0.221237 0.053708 0.000001
0.111469 0.784727 0.650000 0.475000 -0.019289 0.211182 0.064976 0.000000
0.122373 0.736274 0.700000 0.475000 -0.018120 0.201820 0.078328 0.000000
0.132677 0.695328 0.750000 0.475000 -0.018041 0.195651 0.097344 0.000000
0.143882 0.662764 0.800000 0.475000 -0.019761 0.195661 0.127527 0.000000
0.151349 0.640359 0.850000 0.475000 -0.021346 0.195145 0.149743 0.000000
0.156307 0.622908 0.900000 0.475000 -0.022183 0.192957 0.164977 0.000000
0.160161 0.608131 0.950000 0.475000 -0.022651 0.190306 0.177530 0.000000
0.163396 0.595134 1.000000 0.475000 -0.022916 0.187573 0.188819 0.000000
0.000000 0.975192 0.000000 0.500000 -0.020305 0.225475 0.000000 1.000000
0.033603 0.902581 0.050000 0.500000 -0.015324 0.127651 0.001489 0.450000
0.034181 0.928055 0.100000 0.500000 -0.017461 0.150442 0.003429 0.400000
0.033176 0.947434 0.150000 0.500000 -0.018739 0.174010 0.005376 0.350000
0.031808 0.962683 0.200000 0.500000 -0.019610 0.199956 0.007318 0.300000
0.030341 0.975192 0.250000 0.500000 -0.020305 0.225475 0.009259 0.250000
0.028799 0.985935 0.300000 0.500000 -0.021009 0.242612 0.011203 0.200000
0.062339 0.927100 0.350000 0.500000 -0.024318 0.224332 0.022222 0.175000
0.025554 1.003765 0.400000 0.500000 -0.021521 0.035144 0.015362 0.099997
0.023669 1.011564 0.450000 0.500000 -0.021690 0.019025 0.017365 0.050000
0.021775 1.018550 0.500000 0.500000 -0.021705 0.007646 0.019403 0.000001
0.067809 0.946849 0.550000 0.500000 -0.024612 0.225003 0.038284 0.000000
0.089152 0.881899 0.600000 0.500000 -0.023135 0.226712 0.050275 0.000000
0.103723 0.826025 0.650000 0.500000 -0.020863 0.220538 0.061473 0.000000
0.115681 0.775768 0.700000 0.500000 -0.019250 0.211392 0.074260 0.000000
0.126380 0.732653 0.750000 0.500000 -0.018621 0.203871 0.091145 0.000000
0.138074 0.697265 0.800000 0.500000 -0.019635 0.202063 0.119844 0.000000
0.147688 0.671494 0.850000 0.500000 -0.021560 0.203251 0.148157 0.000000
0.153556 0.652115 0.900000 0.500000 -0.022593 0.201723 0.165671 0.000000
0.157886 0.636071 0.950000 0.500000 -0.023154 0.199262 0.179188 0.000000
0.161421 0.622147 1.000000 0.500000 -0.023472 0.196547 0.190970 0.000000
0.000000 0.975192 0.000000 0.525000 -0.020305 0.225475 0.000000 1.000000
0.033603 0.902581 0.050000 0.525000 -0.015324 0.127651 0.001489 0.475000
0.034181 0.928055 0.100000 0.525000 -0.017461 0.150442 0.003429 0.425000
0.033176 0.947434 0.150000 0.525000 -0.018739 0.174010 0.005376 0.375000
0.031808 0.962683 0.200000 0.525000 -0.019610 0.199956 0.007318 0.325000
0.030341 0.975192 0.250000 0.525000 -0.020305 0.225475 0.009259 0.275000
0.028799 0.985935 0.300000 0.525000 -0.021009 0.242612 0.011203 0.225000
0.062339 0.927100 0.350000 0.525000 -0.024318 0.224332 0.022222 0.200000
0.025554 1.003765 0.400000 0.525000 -0.021521 0.035144 0.015362 0.124997
0.023669 1.011564 0.450000 0.525000 -0.021690 0.019025 0.017365 0.075000
0.021775 1.018550 0.500000 0.525000 -0.021705 0.007646 0.019403 0.024999
0.049963 0.988853 0.550000 0.525000 -0.024865 0.191715 0.031845 0.000000
0.078364 0.922495 0.600000 0.525000 -0.024304 0.227425 0.046394 0.000000
0.095382 0.865658 0.650000 0.525000 -0.022447 0.226512 0.057988 0.000000
0.108484 0.814808 0.700000 0.525000 -0.020580 0.220177 0.070341 0.000000
0.119883 0.769811 0.750000 0.525000 -0.019509 0.212277 0.085893 0.000000
0.131390 0.732460 0.800000 0.525000 -0.019733 0.207853 0.110454 0.000000
0.143188 0.703546 0.850000 0.525000 -0.021686 0.210034 0.144514 0.000000
0.150392 0.681768 0.900000 0.525000 -0.022958 0.209754 0.165633 0.000000
0.155352 0.664195 0.950000 0.525000 -0.023624 0.207737 0.180542 0.000000
0.159262 0.649199 1.000000 0.525000 -0.023995 0.205176 0.193000 0.000000
0.000000 0.975192 0.000000 0.550000 -0.020305 0.225475 0.000000 1.000000
0.033603 0.902581 0.050000 0.550000 -0.015324 0.127651 0.001489 0.500000
0.034181 0.928055 0.100000 0.550000 -0.017461 0.150442 0.003429 0.450000
0.033176 0.947434 0.150000 0.550000 -0.018739 0.174010 0.005376 0.400000
0.031808 0.962683 0.200000 0.550000 -0.019610 0.199956 0.007318 0.350000
0.030341 0.975192 0.250000 0.550000 -0.020305 0.225475 0.009259 0.300000
0.028799 0.985935 0.300000 0.550000 -0.021009 0.242612 0.011203 0.250000
0.062339 0.927100 0.350000 0.550000 -0.024318 0.224332 0.022222 0.225000
0.025554 1.003765 0.400000 0.550000 -0.021521 0.035144 0.015362 0.149997
0.023669 1.011564 0.450000 0.550000 -0.021690 0.019025 0.017365 0.100000
0.021775 1.018550 0.500000 0.550000 -0.021705 0.007646 0.019403 0.049999
0.049963 0.988853 0.550000 0.550000 -0.024865 0.191715 0.031845 0.025000
0.064909 0.962408 0.600000 0.550000 -0.024430 0.215429 0.041298 0.000000
0.086219 0.903589 0.650000 0.550000 -0.023749 0.227662 0.054388 0.000000
0.100798 0.852646 0.700000 0.550000 -0.021964 0.226444 0.066554 0.000000
0.113035 0.806637 0.750000 0.550000 -0.020589 0.220230 0.081126 0.000000
0.124611 0.767441 0.800000 0.550000 -0.020236 0.214212 0.102281 0.000000
0.137524 0.736536 0.850000 0.550000 -0.021732 0.215025 0.137695 0.000000
0.146668 0.712032 0.900000 0.550000 -0.023280 0.216688 0.164407 0.000000
0.152493 0.692589 0.950000 0.550000 -0.024070 0.215516 0.181389 0.000000
0.156883 0.676333 1.000000 0.550000 -0.024498 0.213311 0.194797 0.000000
0.000000 0.985935 0.000000 0.575000 -0.021009 0.242612 0.000000 1.000000
0.033603 0.902581 0.050000 0.575000 -0.015324 0.127651 0.001489 0.525000
0.034181 0.928055 0.100000 0.575000 -0.017461 0.150442 0.003429 0.475000
0.033176 0.947434 0.150000 0.575000 -0.018739 0.174010 0.005376 0.425000
0.031808 0.962683 0.200000 0.575000 -0.019610 0.199956 0.007318 0.375000
0.030341 0.975192 0.250000 0.575000 -0.020305 0.225475 0.009259 0.325000
0.028799 0.985935 0.300000 0.575000 -0.021009 0.242612 0.011203 0.275000
0.062339 0.927100 0.350000 0.575000 -0.024318 0.224332 0.022222 0.250000
0.025554 1.003765 0.400000 0.575000 -0.021521 0.035144 0.015362 0.174997
0.023669 1.011564 0.450000 0.575000 -0.021690 0.019025 0.017365 0.125000
0.021775 1.018550 0.500000 0.575000 -0.021705 0.007646 0.019403 0.074999
0.049963 0.988853 0.550000 0.575000 -0.024865 0.191715 0.031845 0.050000
0.047313 1.000035 0.600000 0.575000 -0.025115 0.177641 0.034311 0.000001
0.075468 0.940707 0.650000 0.575000 -0.024273 0.222293 0.050157 0.000000
0.092577 0.888822 0.700000 0.575000 -0.023200 0.228082 0.062865 0.000000
0.105792 0.842647 0.750000 0.575000 -0.021737 0.226397 0.076672 0.000000
0.117783 0.802004 0.800000 0.575000 -0.020997 0.220801 0.095535 0.000000
0.130712 0.769705 0.850000 0.575000 -0.021809 0.218680 0.127717 0.000000
0.142171 0.743033 0.900000 0.575000 -0.023545 0.222050 0.161286 0.000000
0.149218 0.721347 0.950000 0.575000 -0.024490 0.222308 0.181429 0.000000
0.154238 0.703589 1.000000 0.575000 -0.024985 0.220760 0.196200 0.000000
0.000000 0.985935 0.000000 0.600000 -0.021009 0.242612 0.000000 1.000000
0.033603 0.902581 0.050000 0.600000 -0.015324 0.127651 0.001489 0.550000
0.034181 0.928055 0.100000 0.600000 -0.017461 0.150442 0.003429 0.500000
0.033176 0.947434 0.150000 0.600000 -0.018739 0.174010 0.005376 0.450000
0.031808 0.962683 0.200000 0.600000 -0.019610 0.199956 0.007318 0.400000
0.030341 0.975192 0.250000 0.600000 -0.020305 0.225475 0.009259 0.350000
0.028799 0.985935 0.300000 0.600000 -0.021009 0.242612 0.011203 0.300000
0.062339 0.927100 0.350000 0.600000 -0.024318 0.224332 0.022222 0.275000
0.025554 1.003765 0.400000 0.600000 -0.021521 0.035144 0.015362 0.199997
0.023669 1.011564 0.450000 0.600000 -0.021690 0.019025 0.017365 0.150000
0.021775 1.018550 0.500000 0.600000 -0.021705 0.007646 0.019403 0.099999
0.049963 0.988853 0.550000 0.600000 -0.024865 0.191715 0.031845 0.075000
0.047313 1.000035 0.600000 0.600000 -0.025115 0.177641 0.034311 0.024999
0.062288 0.976031 0.650000 0.600000 -0.024151 0.203544 0.044406 0.000000
0.083488 0.923564 0.700000 0.600000 -0.023946 0.223811 0.059009 0.000000
0.098151 0.877319 0.750000 0.600000 -0.022800 0.228636 0.072504 0.000000
0.110738 0.835975 0.800000 0.600000 -0.021846 0.226393 0.089638 0.000000
0.123469 0.802062 0.850000 0.600000 -0.022071 0.222559 0.117277 0.000000
0.136654 0.774596 0.900000 0.600000 -0.023726 0.225433 0.155354 0.000000
0.145391 0.750549 0.950000 0.600000 -0.024871 0.227743 0.180212 0.000000
0.151261 0.731007 1.000000 0.600000 -0.025455 0.227284 0.196981 0.000000
